Data;24364 - Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice
01/2003;100,49
02/2003;102,06
03/2003;102,00
04/2003;100,90
05/2003;99,78
06/2003;100,39
07/2003;99,05
08/2003;99,73
09/2003;101,72
10/2003;101,87
11/2003;101,98
12/2003;101,50
01/2004;103,59
02/2004;104,48
03/2004;105,94
04/2004;106,46
05/2004;106,32
06/2004;107,35
07/2004;107,81
08/2004;108,20
09/2004;109,36
10/2004;108,71
11/2004;109,63
12/2004;108,74
01/2005;109,62
02/2005;110,22
03/2005;110,40
04/2005;110,95
05/2005;110,96
06/2005;110,74
07/2005;110,63
08/2005;111,21
09/2005;110,93
10/2005;111,08
11/2005;111,80
12/2005;112,31
01/2006;113,42
02/2006;113,64
03/2006;113,53
04/2006;114,25
05/2006;115,65
06/2006;114,86
07/2006;116,90
08/2006;116,58
09/2006;116,76
10/2006;118,07
11/2006;118,84
12/2006;119,92
01/2007;119,67
02/2007;120,20
03/2007;119,38
04/2007;121,24
05/2007;122,36
06/2007;123,52
07/2007;124,26
08/2007;124,24
09/2007;125,26
10/2007;126,23
11/2007;126,14
12/2007;126,90
01/2008;127,21
02/2008;126,73
03/2008;126,36
04/2008;127,83
05/2008;129,42
06/2008;131,24
07/2008;130,93
08/2008;130,96
09/2008;130,86
10/2008;128,13
11/2008;124,92
12/2008;120,92
01/2009;120,86
02/2009;122,24
03/2009;122,98
04/2009;123,63
05/2009;124,88
06/2009;125,98
07/2009;126,25
08/2009;128,03
09/2009;129,07
10/2009;129,83
11/2009;129,99
12/2009;131,35
01/2010;133,51
02/2010;135,24
03/2010;136,53
04/2010;137,23
05/2010;136,46
06/2010;136,21
07/2010;136,94
08/2010;137,70
09/2010;139,23
10/2010;138,68
11/2010;140,07
12/2010;138,32
01/2011;140,15
02/2011;140,80
03/2011;141,12
04/2011;140,85
05/2011;141,30
06/2011;142,16
07/2011;142,20
08/2011;141,92
09/2011;141,85
10/2011;141,63
11/2011;142,24
12/2011;140,51
01/2012;138,93
02/2012;140,34
03/2012;140,09
04/2012;141,04
05/2012;142,62
06/2012;143,56
07/2012;143,94
08/2012;144,34
09/2012;143,66
10/2012;144,83
11/2012;144,58
12/2012;144,08
01/2013;144,95
02/2013;143,88
03/2013;144,96
04/2013;146,31
05/2013;146,87
06/2013;146,33
07/2013;146,97
08/2013;147,18
09/2013;148,09
10/2013;148,07
11/2013;148,34
12/2013;148,73
01/2014;148,33
02/2014;148,00
03/2014;147,83
04/2014;146,99
05/2014;146,29
06/2014;143,54
07/2014;144,68
08/2014;145,64
09/2014;146,19
10/2014;145,44
11/2014;145,57
12/2014;146,13
01/2015;145,13
02/2015;144,22
03/2015;143,89
04/2015;142,32
05/2015;141,05
06/2015;139,67
07/2015;138,58
08/2015;138,88
09/2015;137,65
10/2015;138,55
11/2015;136,70
12/2015;136,40
01/2016;135,68
02/2016;135,61
03/2016;134,71
04/2016;134,85
05/2016;134,34
06/2016;134,84
07/2016;134,48
08/2016;133,82
09/2016;133,83
10/2016;133,32
11/2016;133,10
12/2016;132,44
01/2017;133,54
02/2017;135,81
03/2017;135,59
04/2017;135,92
05/2017;134,99
06/2017;136,14
07/2017;136,26
08/2017;135,42
09/2017;135,36
10/2017;135,35
11/2017;135,49
12/2017;137,45
01/2018;136,78
02/2018;136,94
03/2018;136,97
04/2018;138,60
05/2018;133,22
06/2018;137,61
07/2018;137,80
08/2018;138,59
09/2018;137,70
10/2018;137,29
11/2018;137,79
12/2018;138,48
01/2019;138,42
02/2019;137,75
03/2019;137,87
04/2019;138,37
05/2019;138,76
06/2019;139,09
07/2019;138,00
08/2019;137,68
09/2019;138,62
10/2019;138,92
11/2019;138,83
12/2019;138,50
01/2020;138,54
02/2020;140,02
03/2020;131,95
04/2020;119,93
05/2020;121,53
06/2020;128,08
07/2020;131,13
08/2020;133,24
09/2020;135,68
10/2020;136,86
11/2020;137,88
12/2020;138,86
01/2021;140,30
Fonte;BCB-Depec
